afghanistan,asia,southern asia
åland islands,europe,northern europe
albania,europe,southern europe
algeria,africa,northern africa
american samoa,oceania,polynesia
andorra,europe,southern europe
angola,africa,sub-saharan africa
anguilla,americas,latin america and the caribbean
antarctica,,
antigua and barbuda,americas,latin america and the caribbean
argentina,americas,latin america and the caribbean
armenia,asia,western asia
aruba,americas,latin america and the caribbean
australia,oceania,australia and new zealand
austria,europe,western europe
azerbaijan,asia,western asia
bahamas,americas,latin america and the caribbean
bahrain,asia,western asia
bangladesh,asia,southern asia
barbados,americas,latin america and the caribbean
belarus,europe,eastern europe
belgium,europe,western europe
belize,americas,latin america and the caribbean
benin,africa,sub-saharan africa
bermuda,americas,northern america
bhutan,asia,southern asia
bolivia,americas,latin america and the caribbean
"bonaire, sint eustatius and saba",americas,latin america and the caribbean
bosnia and herzegovina,europe,southern europe
botswana,africa,sub-saharan africa
bouvet island,americas,latin america and the caribbean
brazil,americas,latin america and the caribbean
british indian ocean territory,africa,sub-saharan africa
brunei darussalam,asia,south-eastern asia
bulgaria,europe,eastern europe
burkina faso,africa,sub-saharan africa
burundi,africa,sub-saharan africa
cabo verde,africa,sub-saharan africa
cambodia,asia,south-eastern asia
cameroon,africa,sub-saharan africa
canada,americas,northern america
cayman islands,americas,latin america and the caribbean
central african republic,africa,sub-saharan africa
chad,africa,sub-saharan africa
chile,americas,latin america and the caribbean
china,asia,eastern asia
christmas island,oceania,australia and new zealand
cocos,oceania,australia and new zealand
colombia,americas,latin america and the caribbean
comoros,africa,sub-saharan africa
congo,africa,sub-saharan africa
dem. rep. of the congo,africa,sub-saharan africa
cook islands,oceania,polynesia
costa rica,americas,latin america and the caribbean
côte d’ivoire,africa,sub-saharan africa
croatia,europe,southern europe
cuba,americas,latin america and the caribbean
curaçao,americas,latin america and the caribbean
cyprus,asia,western asia
czechia,europe,eastern europe
denmark,europe,northern europe
djibouti,africa,sub-saharan africa
dominica,americas,latin america and the caribbean
dominican republic,americas,latin america and the caribbean
ecuador,americas,latin america and the caribbean
egypt,africa,northern africa
el salvador,americas,latin america and the caribbean
equatorial guinea,africa,sub-saharan africa
eritrea,africa,sub-saharan africa
estonia,europe,northern europe
eswatini,africa,sub-saharan africa
ethiopia,africa,sub-saharan africa
falkland islands,americas,latin america and the caribbean
faroe islands,europe,northern europe
fiji,oceania,melanesia
finland,europe,northern europe
france,europe,western europe
french guiana,americas,latin america and the caribbean
french polynesia,oceania,polynesia
french southern territories,africa,sub-saharan africa
gabon,africa,sub-saharan africa
gambia,africa,sub-saharan africa
georgia,asia,western asia
germany,europe,western europe
ghana,africa,sub-saharan africa
gibraltar,europe,southern europe
greece,europe,southern europe
greenland,americas,northern america
grenada,americas,latin america and the caribbean
guadeloupe,americas,latin america and the caribbean
guam,oceania,micronesia
guatemala,americas,latin america and the caribbean
guernsey,europe,northern europe
guinea,africa,sub-saharan africa
guinea-bissau,africa,sub-saharan africa
guyana,americas,latin america and the caribbean
haiti,americas,latin america and the caribbean
heard island and mcdonald islands,oceania,australia and new zealand
holy see,europe,southern europe
honduras,americas,latin america and the caribbean
hong kong,asia,eastern asia
hungary,europe,eastern europe
iceland,europe,northern europe
india,asia,southern asia
indonesia,asia,south-eastern asia
iran,asia,southern asia
iraq,asia,western asia
ireland,europe,northern europe
isle of man,europe,northern europe
israel,asia,western asia
italy,europe,southern europe
jamaica,americas,latin america and the caribbean
japan,asia,eastern asia
jersey,europe,northern europe
jordan,asia,western asia
kazakhstan,asia,central asia
kenya,africa,sub-saharan africa
kiribati,oceania,micronesia
dem. people's rep. of korea,asia,eastern asia
republic of korea,asia,eastern asia
kuwait,asia,western asia
kyrgyzstan,asia,central asia
lao people's dem. rep.,asia,south-eastern asia
latvia,europe,northern europe
lebanon,asia,western asia
lesotho,africa,sub-saharan africa
liberia,africa,sub-saharan africa
libya,africa,northern africa
liechtenstein,europe,western europe
lithuania,europe,northern europe
luxembourg,europe,western europe
macao,asia,eastern asia
madagascar,africa,sub-saharan africa
malawi,africa,sub-saharan africa
malaysia,asia,south-eastern asia
maldives,asia,southern asia
mali,africa,sub-saharan africa
malta,europe,southern europe
marshall islands,oceania,micronesia
martinique,americas,latin america and the caribbean
mauritania,africa,sub-saharan africa
mauritius,africa,sub-saharan africa
mayotte,africa,sub-saharan africa
mexico,americas,latin america and the caribbean
micronesia,oceania,micronesia
republic of moldova,europe,eastern europe
monaco,europe,western europe
mongolia,asia,eastern asia
montenegro,europe,southern europe
montserrat,americas,latin america and the caribbean
morocco,africa,northern africa
mozambique,africa,sub-saharan africa
myanmar,asia,south-eastern asia
namibia,africa,sub-saharan africa
nauru,oceania,micronesia
nepal,asia,southern asia
netherlands,europe,western europe
new caledonia,oceania,melanesia
new zealand,oceania,australia and new zealand
nicaragua,americas,latin america and the caribbean
niger,africa,sub-saharan africa
nigeria,africa,sub-saharan africa
niue,oceania,polynesia
norfolk island,oceania,australia and new zealand
north macedonia,europe,southern europe
northern mariana islands,oceania,micronesia
norway,europe,northern europe
oman,asia,western asia
pakistan,asia,southern asia
palau,oceania,micronesia
state of palestine,asia,western asia
panama,americas,latin america and the caribbean
papua new guinea,oceania,melanesia
paraguay,americas,latin america and the caribbean
peru,americas,latin america and the caribbean
philippines,asia,south-eastern asia
pitcairn,oceania,polynesia
poland,europe,eastern europe
portugal,europe,southern europe
puerto rico,americas,latin america and the caribbean
qatar,asia,western asia
réunion,africa,sub-saharan africa
romania,europe,eastern europe
russian federation,europe,eastern europe
rwanda,africa,sub-saharan africa
saint barthélemy,americas,latin america and the caribbean
"saint helena, ascension and tristan da cunha",africa,sub-saharan africa
saint kitts and nevis,americas,latin america and the caribbean
saint lucia,americas,latin america and the caribbean
saint martin,americas,latin america and the caribbean
saint pierre and miquelon,americas,northern america
saint vincent & grenadines,americas,latin america and the caribbean
samoa,oceania,polynesia
san marino,europe,southern europe
sao tome and principe,africa,sub-saharan africa
saudi arabia,asia,western asia
senegal,africa,sub-saharan africa
serbia,europe,southern europe
seychelles,africa,sub-saharan africa
sierra leone,africa,sub-saharan africa
singapore,asia,south-eastern asia
sint maarten,americas,latin america and the caribbean
slovakia,europe,eastern europe
slovenia,europe,southern europe
solomon islands,oceania,melanesia
somalia,africa,sub-saharan africa
south africa,africa,sub-saharan africa
south georgia and the south sandwich islands,americas,latin america and the caribbean
south sudan,africa,sub-saharan africa
spain,europe,southern europe
sri lanka,asia,southern asia
sudan,africa,northern africa
suriname,americas,latin america and the caribbean
svalbard and jan mayen,europe,northern europe
sweden,europe,northern europe
switzerland,europe,western europe
syrian arab republic,asia,western asia
"taiwan, province of china",asia,eastern asia
tajikistan,asia,central asia
united rep. of tanzania,africa,sub-saharan africa
thailand,asia,south-eastern asia
timor-leste,asia,south-eastern asia
togo,africa,sub-saharan africa
tokelau,oceania,polynesia
tonga,oceania,polynesia
trinidad and tobago,americas,latin america and the caribbean
tunisia,africa,northern africa
turkey,asia,western asia
turkmenistan,asia,central asia
turks and caicos islands,americas,latin america and the caribbean
tuvalu,oceania,polynesia
uganda,africa,sub-saharan africa
ukraine,europe,eastern europe
united arab emirates,asia,western asia
united kingdom,europe,northern europe
united states of america,americas,northern america
united states minor outlying islands,oceania,micronesia
uruguay,americas,latin america and the caribbean
uzbekistan,asia,central asia
vanuatu,oceania,melanesia
venezuela,americas,latin america and the caribbean
viet nam,asia,south-eastern asia
virgin islands,americas,latin america and the caribbean
wallis and futuna,oceania,polynesia
western sahara,africa,northern africa
yemen,asia,western asia
zambia,africa,sub-saharan africa
zimbabwe,africa,sub-saharan africa
